# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,3.0,
# 0.0,0.2,0.4,0.6,
1.010050251256281451e+00,1.012552301255229992e+00,9.716981132075471761e-01
9.649999999999999689e-01,1.033980582524271830e+00,9.459459459459459429e-01
9.917355371900826722e-01,1.084577114427860867e+00,9.351851851851852304e-01
9.915611814345991482e-01,9.274193548387096309e-01,1.074074074074074181e+00
1.047169811320754595e+00,1.030701754385964897e+00,9.518072289156627175e-01
9.864864864864865135e-01,9.756097560975609539e-01,9.722222222222222099e-01
9.909090909090909616e-01,1.043956043956044022e+00,1.032258064516129004e+00
1.015544041450777257e+00,1.078014184397163122e+00,9.322033898305085442e-01
9.885057471264367956e-01,1.016260162601625883e+00,8.627450980392157298e-01
9.727891156462584732e-01,1.027272727272727337e+00,1.310344827586206851e+00
9.836065573770492731e-01,9.368421052631578094e-01,7.941176470588233727e-01
9.479166666666665186e-01,1.142857142857142794e+00,9.047619047619048782e-01
9.726027397260273988e-01,1.148936170212766061e+00,1.294117647058823595e+00
1.053571428571428825e+00,9.699248120300751896e-01,9.722222222222222099e-01
1.130434782608695565e+00,9.333333333333333481e-01,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,nan
