# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,3.0,
# 0.0,0.2,0.4,0.6,
9.991230634317450621e-01,9.997161510076639779e-01,9.915100060642814128e-01
9.973934090485943038e-01,9.990512333965844149e-01,9.946125155408205298e-01
9.970177578961637588e-01,9.972237645752359825e-01,9.953851615193468616e-01
9.968073785030152623e-01,9.974677133451507194e-01,9.939567430025445516e-01
9.942460102051894344e-01,9.972368751569957723e-01,9.954633830200907418e-01
9.971578487101006028e-01,9.964784139820007658e-01,9.962212298179319303e-01
9.976692693159305847e-01,9.954552118457704601e-01,9.925255704169945181e-01
9.956556082148498854e-01,9.971259509721047687e-01,9.958810068649885938e-01
9.969650986342943888e-01,9.958530805687203502e-01,9.944751381215469754e-01
9.960629921259842590e-01,9.946731234866827975e-01,9.889502762430939509e-01
9.964554718653079179e-01,9.976422045387562942e-01,9.930008748906387073e-01
9.928260312580066138e-01,9.956834532374100322e-01,9.978021978021978100e-01
9.944353518821603677e-01,9.977708426214890736e-01,9.932432432432432012e-01
9.941294196130754379e-01,9.934940681209337709e-01,9.870550161812298162e-01
9.943043124491456330e-01,9.914438502673796894e-01,9.873015873015873467e-01
9.863013698630136439e-01,1.000000000000000000e+00,9.591836734693877098e-01
