# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,3.0,
# 0.0,0.2,0.4,0.6,
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.920634920634920917e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.770992366412213359e-01
9.908256880733945504e-01,9.923664122137404453e-01,9.761904761904761640e-01
1.000000000000000000e+00,9.921568627450980671e-01,9.932885906040268553e-01
1.000000000000000000e+00,9.957446808510638236e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.824561403508771384e-01
1.000000000000000000e+00,9.945652173913043237e-01,1.000000000000000000e+00
9.883040935672514626e-01,9.946524064171122781e-01,9.759036144578313587e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.629629629629629095e-01
9.930555555555555802e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.873417721518987777e-01,1.000000000000000000e+00
9.969879518072288782e-01,1.000000000000000000e+00,9.818181818181818121e-01
9.919354838709677491e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
