# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,3.0,
# 0.0,0.2,0.4,0.6,
9.942378208486118973e-01,1.000502512562813973e+00,1.057109557109557008e+00
1.018529956763434274e+00,9.737136465324384149e-01,9.536152796725784198e-01
9.835657370517928433e-01,1.006529382219990110e+00,9.844155844155844104e-01
9.842413327330031825e-01,1.010891089108910901e+00,9.940334128878280939e-01
9.941834451901565561e-01,9.895936570862240433e-01,1.017434620174346271e+00
9.981176470588235539e-01,9.911748483177055258e-01,1.029230769230769171e+00
1.006413418845584662e+00,1.006715506715506914e+00,9.933222036727878956e-01
1.013935340022296572e+00,9.972936400541270174e-01,1.031496062992125928e+00
9.875311720698255469e-01,1.006400000000000183e+00,9.659090909090909394e-01
9.907904834996162924e-01,1.000000000000000000e+00,1.016438356164383494e+00
1.003472222222222099e+00,1.003667481662591676e+00,1.014285714285714235e+00
9.860139860139860435e-01,1.006060606060606100e+00,1.004739336492891155e+00
9.799426934097419384e-01,1.012145748987854255e+00,8.926553672316384080e-01
1.010526315789473717e+00,1.009049773755656076e+00,1.011461318051575908e+00
1.017543859649122640e+00,1.024096385542168752e+00,8.620689655172414367e-01
1.000000000000000000e+00,1.166666666666666519e+00,1.500000000000000000e+00
