# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,3.0,
# 0.0,0.2,0.4,0.6,
1.000000000000000000e+00,9.907407407407406996e-01,9.722222222222222099e-01
1.000000000000000000e+00,9.826589595375722075e-01,9.920634920634920917e-01
1.000000000000000000e+00,9.782608695652174058e-01,9.541984732824427828e-01
9.954128440366972752e-01,9.885496183206107235e-01,9.821428571428570953e-01
9.961089494163424263e-01,9.764705882352940902e-01,9.798657718120805660e-01
9.957983193277311074e-01,9.914893617021276473e-01,9.848484848484848619e-01
9.915254237288135819e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.955947136563876310e-01,1.000000000000000000e+00,9.879518072289156239e-01
1.000000000000000000e+00,9.946524064171122781e-01,9.879518072289156239e-01
9.938271604938271331e-01,9.932885906040268553e-01,9.814814814814815103e-01
9.930555555555555802e-01,1.000000000000000000e+00,9.850746268656715987e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.849397590361446131e-01,1.000000000000000000e+00,9.818181818181818121e-01
9.919354838709677491e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
