# 0.3,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0,1.25,1.5,3.0,
# 0.0,0.2,0.4,0.6,
1.056185564688300937e+00,1.072586860649815899e+00,1.083154746248735423e+00
1.027957986169955706e+00,1.050949231339291856e+00,1.064362729895901527e+00
1.049341894437505696e+00,1.055668523801466252e+00,1.056707795875765132e+00
1.007987186565663551e+00,1.067261136713983039e+00,1.059087768388998763e+00
1.036325749757837977e+00,1.047627238750161727e+00,1.073401063399425981e+00
1.034680302736490365e+00,1.067358739532608070e+00,1.060476306465055973e+00
1.031306904050428797e+00,1.068403590677586834e+00,1.034035985192516938e+00
1.043544874881031426e+00,1.046699544409390503e+00,1.032406903454583746e+00
1.024352689530959815e+00,1.034149138535698009e+00,1.002438887754238284e+00
1.048943635624854265e+00,1.061904959460357789e+00,1.079340499398542708e+00
1.017438500194818074e+00,1.020160269404493114e+00,1.058596597250035742e+00
9.955425022856588813e-01,1.046839298140485486e+00,9.887855982436070112e-01
1.031329187401315295e+00,9.840492628260114616e-01,9.426621759479143492e-01
1.044250867597138255e+00,1.015024861807312995e+00,9.860029656466691161e-01
1.049470764515121557e+00,9.404699383294309323e-01,1.077621804335806344e+00
1.044966598143812098e+00,6.430563680884997524e-01,1.175587422911788638e+00
